REPO_PATH: code_lists/medications/diabetes/insulin_dmd.csv
SITE_URL: https://exeter-diabetes.github.io/sde-sw-framework/code_lists/medications/diabetes/insulin_dmd.csv/
GITHUB_URL: https://github.com/Exeter-Diabetes/sde-sw-framework/blob/dev/code_lists/medications/diabetes/insulin_dmd.csv
FILE_NAME: insulin_dmd.csv

CONTENT_START
dmd_code,term,drug_substance
11135411000001100,Human Mixtard 20 Penfill 100units/ml suspension for injection 1.5ml cartridges (Waymade Ltd) (product),Mix insulin
11135511000001101,Human Mixtard 20 Penfill 100units/ml suspension for injection 1.5ml cartridges (Waymade Ltd) 5 cartridge (product),Mix insulin
11135611000001102,Mixtard 10 Penfill 100units/ml suspension for injection 3ml cartridges (Waymade Ltd) (product),Mix insulin
11135711000001106,Mixtard 10 Penfill 100units/ml suspension for injection 3ml cartridges (Waymade Ltd) 5 cartridge (product),Mix insulin
11148111000001101,Levemir InnoLet 100units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd),Basal insulin
11148211000001107,Levemir InnoLet 100units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd) 5 pre-filled disposable injection,Basal insulin
11706601000001106,Tresiba FlexTouch,Basal insulin
11706701000001101,Tresiba Penfill,Basal insulin
11706801000001105,Tresiba,Basal insulin
11737701000001109,INSULIN DEGLUDEC,Basal insulin
11737801000001100,TRESIBA FLEXTOUCH 100iu/mL prefilled pen 3mL,Basal insulin
11737901000001106,INSULIN DEGLUDEC 100iu/mL prefilled pen,Basal insulin
11738001000001108,TRESIBA FLEXTOUCH 200iu/mL prefilled pen 3mL,Basal insulin
11738101000001109,INSULIN DEGLUDEC 200iu/mL prefilled pen,Basal insulin
11738201000001102,TRESIBA PENFILL 100iu/mL injection cartridges,Basal insulin
11738301000001106,INSULIN DEGLUDEC 100iu/mL injection cartridges,Basal insulin
11933011000001106,Lantus 100units/ml solution for injection 3ml pre-filled SoloStar pens (Sanofi),Basal insulin
11933111000001107,Lantus 100units/ml solution for injection 3ml pre-filled SoloStar pens (Sanofi) 5 pre-filled disposable injection,Basal insulin
120701000001102,Human Mixtard 30 prefilled pen,Mix insulin
12144611000001100,Apidra 100units/ml solution for injection 3ml pre-filled SoloStar pens (Sanofi),Bolus insulin
12144711000001109,Apidra 100units/ml solution for injection 3ml pre-filled SoloStar pens (Sanofi) 5 pre-filled disposable injection,Bolus insulin
121901000001108,Biphasic insulin 100units/mL injection vial,Mix insulin
12218801000001101,NovoRapid PumpCart,Bolus insulin
12228101000001103,Xultophy,Basal insulin
12471501000001100,Toujeo,Basal insulin
12536501000001100,HUMALOG KWIKPEN 200iu/mL prefilled pen 3mL,Bolus insulin
12536601000001101,INSULIN LISPRO 200iu/mL prefilled pen,Bolus insulin
12536701000001106,NOVORAPID PUMPCART 100units/mL soln for inj cartridges 1.6mL,Bolus insulin
12536801000001102,INSULIN DEGLUDEC + LIRAGLUTIDE,Basal insulin
12536901000001108,XULTOPHY 100iu/mL/3.6mg/mL soln for inj prefilled pen 3mL,Basal insulin
12537001000001107,INSULIN DEGLUDEC+LIRAGLUTIDE 100iu/mL/3.6mg/mL soln inj pen,Basal insulin
12608001000001107,Abasaglar KwikPen,Basal insulin
12608101000001108,Abasaglar,Basal insulin
12608201000001101,Abasaglar,Basal insulin
126210001,Insulin human,NA
126211002,Recombinant human insulin analogue preparation,NA
126212009,Insulin glargine,Basal insulin
126214005,Intermediate acting insulin product,Intermediate insulin
126215006,Long acting insulin,Basal insulin
126221005,Prompt zinc insulin preparation,NA
12665601000001105,INSUMAN INFUSAT 100iu/mL soln for inj cartridges 3.15mL,Bolus insulin
12665701000001100,INSUMAN INFUSAT 100iu/mL solution for injection vials 10mL,Bolus insulin
12665801000001109,TOUJEO 300iu/mL SoloStar prefilled pen 1.5mL,Basal insulin
12665901000001103,INSULIN GLARGINE 300iu/mL prefilled pen,Basal insulin
12666001000001107,ABASAGLAR 100iu/mL solution for injection cartridges 3mL,Basal insulin
12666101000001108,ABASAGLAR KWIKPEN 100iu/mL soln for inj prefilled pen 3mL,Basal insulin
12758001000001105,Humalog Mix25 Pen,Bolus insulin
12758101000001106,Humalog Mix50 Pen,Bolus insulin
12758201000001104,Humulin I Pen,Intermediate insulin
12758301000001108,Humulin M3 Pen,Mix insulin
12758401000001100,Insuman Basal OptiSet,Intermediate insulin
12758501000001101,Insuman Basal SoloStar,Intermediate insulin
12758601000001102,Insuman Comb 15 OptiSet,Mix insulin
12758701000001107,Insuman Comb 25 OptiSet,Mix insulin
12758801000001103,Insuman Comb 25 SoloStar,Mix insulin
12758901000001109,Insuman Comb 50 OptiSet,Mix insulin
12759001000001104,Insuman Rapid OptiSet,Bolus insulin
12759101000001103,Lantus OptiSet,Basal insulin
12759201000001105,Lantus,Basal insulin
12759701000001102,Lantus SoloStar,Basal insulin
12759801000001106,Lantus OptiClik,Basal insulin
13017101000001106,Fiasp FlexTouch,Bolus insulin
13017201000001104,Fiasp Penfill,Bolus insulin
13017301000001108,Fiasp,Bolus insulin
13017401000001100,Fiasp,Bolus insulin
13113601000001104,Humalog Junior KwikPen,Bolus insulin
13180011000001101,NovoMix 30 FlexPen 100units/ml suspension for injection 3ml pre-filled pens (Dowelhurst Ltd),Mix insulin
13180111000001100,NovoMix 30 FlexPen 100units/ml suspension for injection 3ml pre-filled pens (Dowelhurst Ltd) 5 pre-filled disposable injection,Mix insulin
13180611000001108,NovoMix 30 Penfill 100units/ml suspension for injection 3ml cartridges (Dowelhurst Ltd) (product),Mix insulin
13180711000001104,NovoMix 30 Penfill 100units/ml suspension for injection 3ml cartridges (Dowelhurst Ltd) 5 cartridge (product),Mix insulin
13181211000001100,NovoRapid FlexPen 100units/ml solution for injection 3ml pre-filled pens (Dowelhurst Ltd),Bolus insulin
13181311000001108,NovoRapid FlexPen 100units/ml solution for injection 3ml pre-filled pens (Dowelhurst Ltd) 5 pre-filled disposable injection,Bolus insulin
13182011000001102,NovoRapid Penfill 100units/ml solution for injection 3ml cartridges (Dowelhurst Ltd) (product),Bolus insulin
13182211000001107,NovoRapid Penfill 100units/ml solution for injection 3ml cartridges (Dowelhurst Ltd) 5 cartridge (product),Bolus insulin
13198101000001104,Insulin soluble human 100units/ml solution for injection 3ml cartridges (product),NA
13198201000001106,Insulin soluble human 100units/ml solution for injection 10ml vials (product),NA
13198301000001102,Insulin lispro 100units/ml solution for injection 10ml vials (product),Bolus insulin
13198401000001105,Insulin lispro 100units/ml solution for injection 3ml cartridges (product),Bolus insulin
13198501000001109,Insulin lispro 100units/ml solution for injection 3ml pre-filled disposable devices (product),Bolus insulin
13198601000001108,Insulin aspart 100units/ml solution for injection 10ml vials (product),Bolus insulin
13198701000001103,Insulin zinc crystalline human 100units/ml suspension for injection 10ml vials (product),Basal insulin
13198801000001107,Insulin isophane human 100units/ml suspension for injection 3ml cartridges (product),Intermediate insulin
13198901000001101,Insulin protamine zinc bovine 100units/ml suspension for injection 10ml vials (product),Basal insulin
13248401000001103,Insulin soluble human 100units/ml solution for injection 3ml pre-filled disposable devices (product),NA
13248501000001104,Insulin isophane human 100units/ml suspension for injection 3ml pre-filled disposable devices (product),Intermediate insulin
13250001000001108,Insulin soluble bovine 100units/ml solution for injection 10ml vials (product),NA
13250101000001109,Insulin soluble bovine 100units/ml solution for injection 1.5ml cartridges (product),NA
13250201000001102,Insulin soluble porcine 100units/ml solution for injection 10ml vials (product),NA
13250301000001106,Insulin soluble human 100units/ml solution for injection 5ml vials (product),NA
13250401000001103,Insulin soluble human 100units/ml solution for injection 1.5ml cartridges (product),NA
13250501000001104,Insulin lispro 100units/ml solution for injection 1.5ml cartridges (product),Bolus insulin
13256601000001103,Insulin glargine 100units/ml solution for injection 3ml cartridges (product),Basal insulin
13256801000001104,Insulin zinc mixed human 100units/ml suspension for injection 10ml vials (product),Mix insulin
13256901000001105,Insulin glargine 100units/ml solution for injection 10ml vials (product),Basal insulin
13257201000001103,Insulin glargine 100units/ml solution for injection 3ml pre-filled disposable devices (product),Basal insulin
13265301000001108,Insulin glulisine 100units/ml solution for injection 10ml vials (product),Bolus insulin
13277401000001101,Semglee,Basal insulin
13286701000001101,Suliqua,Basal insulin
13291501000001101,Toujeo DoubleStar,Basal insulin
13291601000001102,Toujeo,Basal insulin
135601000001100,Humulin M3 30/70 (prb) 100units/mL injection cartridge,Mix insulin
13772811000001105,Humulin I 100units/ml suspension for injection 3ml cartridges (Waymade Healthcare Plc) (product),Intermediate insulin
13772911000001100,Humulin I 100units/ml suspension for injection 3ml cartridges (Waymade Healthcare Plc) 5 cartridge (product),Intermediate insulin
13773011000001108,Humulin S 100units/ml solution for injection 3ml cartridges (Waymade Healthcare Plc) (product),Bolus insulin
13773111000001109,Humulin S 100units/ml solution for injection 3ml cartridges (Waymade Healthcare Plc) 5 cartridge (product),Bolus insulin
138001000001104,Isophane insulin 100iu/mL injection vial - product,Intermediate insulin
13850411000001106,Insulin human 100units/ml solution for injection 10ml vials 1 vial (product),NA
13850511000001105,Humulin R 100units/ml solution for injection 10ml vials (Imported (United States)) (product),Bolus insulin
13850611000001109,Humulin R 100units/ml solution for injection 10ml vials (Imported (United States)) 1 vial (product),Bolus insulin
13859411000001101,Insulin human 100 unit/ml solution for injection 10 ml vial,NA
13877811000001105,Humalog KwikPen 100units/ml solution for injection 3ml pre-filled pens (Eli Lilly and Company Ltd),Bolus insulin
13878111000001102,Humalog KwikPen 100units/ml solution for injection 3ml pre-filled pens (Eli Lilly and Company Ltd) 5 pre-filled disposable injection,Bolus insulin
13884711000001104,Humalog Mix25 KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Eli Lilly and Company Ltd),Bolus insulin
13884811000001107,Humalog Mix25 KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Eli Lilly and Company Ltd) 5 pre-filled disposable injection,Bolus insulin
13884911000001102,Humalog Mix50 KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Eli Lilly and Company Ltd),Bolus insulin
13885011000001102,Humalog Mix50 KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Eli Lilly and Company Ltd) 5 pre-filled disposable injection,Bolus insulin
14190111000001102,Humulin S 100units/ml solution for injection 10ml vials (Waymade Healthcare Plc) (product),Bolus insulin
14190211000001108,Humulin S 100units/ml solution for injection 10ml vials (Waymade Healthcare Plc) 1 vial (product),Bolus insulin
14190311000001100,Humulin M3 100units/ml suspension for injection 3ml cartridges (Waymade Healthcare Plc) (product),Mix insulin
14190411000001107,Humulin M3 100units/ml suspension for injection 3ml cartridges (Waymade Healthcare Plc) 5 cartridge (product),Mix insulin
14247811000001101,Humalog 100units/ml solution for injection 3ml cartridges (Sigma Pharmaceuticals Plc) (product),Bolus insulin
14247911000001106,Humalog 100units/ml solution for injection 3ml cartridges (Sigma Pharmaceuticals Plc) 5 cartridge (product),Bolus insulin
14248011000001108,Humalog Mix25 100units/ml suspension for injection 3ml cartridges (Sigma Pharmaceuticals Plc) (product),Bolus insulin
14248111000001109,Humalog Mix25 100units/ml suspension for injection 3ml cartridges (Sigma Pharmaceuticals Plc) 5 cartridge (product),Bolus insulin
14248411000001104,Humalog Mix50 100units/ml suspension for injection 3ml cartridges (Sigma Pharmaceuticals Plc) (product),Bolus insulin
14248511000001100,Humalog Mix50 100units/ml suspension for injection 3ml cartridges (Sigma Pharmaceuticals Plc) 5 cartridge (product),Bolus insulin
14248611000001101,Humalog Mix25 Pen 100units/ml suspension for injection 3ml pre-filled pens (Sigma Pharmaceuticals Plc),Bolus insulin
14248711000001105,Humalog Mix25 Pen 100units/ml suspension for injection 3ml pre-filled pens (Sigma Pharmaceuticals Plc) 5 pre-filled disposable injection,Bolus insulin
14248811000001102,Humalog Mix50 Pen 100units/ml suspension for injection 3ml pre-filled pens (Sigma Pharmaceuticals Plc),Bolus insulin
14248911000001107,Humalog Mix50 Pen 100units/ml suspension for injection 3ml pre-filled pens (Sigma Pharmaceuticals Plc) 5 pre-filled disposable injection,Bolus insulin
14249011000001103,Humalog Pen 100units/ml solution for injection 3ml pre-filled pens (Sigma Pharmaceuticals Plc),Bolus insulin
14249111000001102,Humalog Pen 100units/ml solution for injection 3ml pre-filled pens (Sigma Pharmaceuticals Plc) 5 pre-filled disposable injection,Bolus insulin
14249211000001108,Humalog 100units/ml solution for injection 10ml vials (Sigma Pharmaceuticals Plc) (product),Bolus insulin
14249311000001100,Humalog 100units/ml solution for injection 10ml vials (Sigma Pharmaceuticals Plc) 1 vial (product),Bolus insulin
14380511000001100,NovoMix 30 FlexPen 100units/ml suspension for injection 3ml pre-filled pens (Sigma Pharmaceuticals Plc),Mix insulin
14381311000001101,NovoMix 30 FlexPen 100units/ml suspension for injection 3ml pre-filled pens (Sigma Pharmaceuticals Plc) 5 pre-filled disposable injection,Mix insulin
14386011000001106,NovoMix 30 Penfill 100units/ml suspension for injection 3ml cartridges (Sigma Pharmaceuticals Plc) (product),Mix insulin
14386511000001103,NovoMix 30 Penfill 100units/ml suspension for injection 3ml cartridges (Sigma Pharmaceuticals Plc) 5 cartridge (product),Mix insulin
14389911000001101,NovoRapid FlexPen 100units/ml solution for injection 3ml pre-filled pens (Sigma Pharmaceuticals Plc),Bolus insulin
14390111000001105,NovoRapid FlexPen 100units/ml solution for injection 3ml pre-filled pens (Sigma Pharmaceuticals Plc) 5 pre-filled disposable injection,Bolus insulin
14592411000001101,Humulin I 100units/ml suspension for injection 10ml vials (Waymade Healthcare Plc) (product),Intermediate insulin
14592611000001103,Humulin I 100units/ml suspension for injection 10ml vials (Waymade Healthcare Plc) 1 vial (product),Intermediate insulin
14664711000001106,NovoRapid Penfill 100units/ml solution for injection 3ml cartridges (Sigma Pharmaceuticals Plc) (product),Bolus insulin
14665111000001109,NovoRapid Penfill 100units/ml solution for injection 3ml cartridges (Sigma Pharmaceuticals Plc) 5 cartridge (product),Bolus insulin
