REPO_PATH: code_lists/medications/blood pressure lowering/thiazide_diuretics_dmd.csv
SITE_URL: https://exeter-diabetes.github.io/sde-sw-framework/code_lists/medications/blood pressure lowering/thiazide_diuretics_dmd.csv/
GITHUB_URL: https://github.com/Exeter-Diabetes/sde-sw-framework/blob/dev/code_lists/medications/blood pressure lowering/thiazide_diuretics_dmd.csv
FILE_NAME: thiazide_diuretics_dmd.csv

CONTENT_START
dmd_code,term
11383411000001100,Co-Diovan 80mg/12.5mg tablets (Waymade Ltd) (product)
11383511000001101,Co-Diovan 80mg/12.5mg tablets (Waymade Ltd) 28 tablet (product)
11425811000001102,Co-amilozide 5mg/50mg tablets (Almus Pharmaceuticals Ltd) (product)
11425911000001107,Co-amilozide 5mg/50mg tablets (Almus Pharmaceuticals Ltd) 28 tablet (product)
1144411000001103,Indapamide 1.5mg modified-release tablets 30 tablet (product)
115101000001101,Esidrex 25mg tablet
115701000001100,Triamterene+chlortalidone 50mg/50mg tablet - product
1170911000001102,Indapamide 2.5mg tablets 56 tablet (product)
1171411000001101,Indapamide 2.5mg tablets 28 tablet (product)
1177111000001104,Co-triamterzide 50mg/25mg tablets 30 tablet (product)
11799411000001101,Co-tenidone 100mg/25mg/5ml oral suspension 1 ml (product)
11799511000001102,Co-tenidone 100mg/25mg/5ml oral suspension (Special Order) (product)
11799611000001103,Co-tenidone 100mg/25mg/5ml oral suspension (Special Order) 1 ml (product)
11799711000001107,Co-tenidone 100mg/25mg/5ml oral solution 1 ml (product)
11799811000001104,Co-tenidone 100mg/25mg/5ml oral solution (Special Order) (product)
11799911000001109,Co-tenidone 100mg/25mg/5ml oral solution (Special Order) 1 ml (product)
1180311000001107,Bendroflumethiazide 2.5mg tablets 500 tablet (product)
11815211000001100,Atenolol 20 mg/ml and chlortalidone 5 mg/ml oral solution
11815311000001108,Atenolol 20 mg/ml and chlortalidone 5 mg/ml oral suspension
1191711000001104,Co-tenidone 50mg/12.5mg tablets 28 tablet (product)
1195711000001102,Propranolol 80mg / Bendroflumethiazide 2.5mg capsules 60 capsule (product)
11988511000001100,Chlorothiazide 500mg/5ml oral suspension 1 ml (product)
11988611000001101,Chlorothiazide 500mg/5ml oral suspension (Special Order) (product)
11988711000001105,Chlorothiazide 500mg/5ml oral suspension (Special Order) 1 ml (product)
11989411000001107,Chlorothiazide 500mg/5ml oral solution 1 ml (product)
11989511000001106,Chlorothiazide 500mg/5ml oral solution (Special Order) (product)
11989611000001105,Chlorothiazide 500mg/5ml oral solution (Special Order) 1 ml (product)
11989711000001101,Chlorothiazide 5mg/5ml oral suspension 1 ml (product)
11989911000001104,Chlorothiazide 5mg/5ml oral suspension (Special Order) (product)
11990011000001107,Chlorothiazide 5mg/5ml oral suspension (Special Order) 1 ml (product)
11990411000001103,Chlorothiazide 5mg/5ml oral solution 1 ml (product)
11990711000001109,Chlorothiazide 5mg/5ml oral solution (Special Order) (product)
11990811000001101,Chlorothiazide 5mg/5ml oral solution (Special Order) 1 ml (product)
11990911000001106,Chlorothiazide 6mg/5ml oral suspension 1 ml (product)
11991011000001103,Chlorothiazide 6mg/5ml oral suspension (Special Order) (product)
